案例ID,事故时间,事故地点,事故类型,参与方,事故经过,原因分析,责任认定,法律依据,处理结果,问答标签
T-001,2025年10月12日14时30分,江苏省南京市玄武区某街道,机动车与非机动车碰撞（开门杀）,辛某某（小型轿车驾驶人）、陈某（乘客）、周某某（电动自行车驾驶人）,辛某某驾驶小型轿车载客，未紧靠道路右侧停车，乘客陈某开门时未观察后方来车即打开车门，与正常骑行的周某某发生碰撞，造成周某某左胫骨平台骨折，车辆受损,1. 驾驶人辛某某未按规定靠边停车（距路边35cm，规范要求≤30cm）；2. 乘客陈某开门前未履行观察义务；3. 双方均未采取安全防范措施,辛某某负主要责任（60%），陈某负次要责任（40%），周某某无责任,《道路交通安全法实施条例》第63条第4项（机动车在道路上临时停车规定）；《民法典》第1172条（分别实施侵权行为造成同一损害）,辛某某赔偿周某某医疗费、误工费等共计8.7万元；陈某赔偿5.8万元；保险公司在交强险范围内先行赔付,开门杀、乘客责任、机动车停车规范、非机动车权益保护
T-002,2025年8月19日9时15分,浙江省杭州市余杭区某乡村道路,机动车单方事故（翻入路边沟渠）,钱某（小型轿车驾驶人，车主）、赵某（同乘人，钱某朋友）,钱某应朋友赵某请求，免费搭载其前往镇上办事，行驶至乡村道路转弯处时，因操作不当导致车辆失控翻入路边沟渠，造成赵某腰椎骨折，车辆严重损坏,1. 驾驶人钱某转弯时车速过快（45km/h，该路段限速30km/h）；2. 未提前减速和观察路况；3. 车辆未定期保养，转向系统存在轻微故障,钱某构成一般过失，承担80%赔偿责任；赵某作为好意同乘人，自行承担20%损失,《民法典》第1217条（好意同乘责任减轻规定）；《道路交通安全法》第42条（限速规定）,钱某赔偿赵某各项损失共计6.2万元（扣除好意同乘减轻责任部分）；钱某自行承担车辆维修费用3.5万元,好意同乘、责任减轻、免费搭车、单方事故
T-003,2025年7月28日17时20分,广东省深圳市南山区某十字路口,非机动车与机动车碰撞,李某某（电动自行车驾驶人）、贺某（小型轿车驾驶人）,李某某驾驶电动自行车闯红灯通过十字路口，与正常绿灯行驶的贺某驾驶的小型轿车发生碰撞，造成贺某车辆前保险杠、大灯损坏，李某某轻微擦伤,1. 李某某违反交通信号灯通行规定（闯红灯）；2. 未佩戴安全头盔；3. 电动自行车制动性能不符合安全标准,李某某承担全部责任，贺某无责任,《道路交通安全法》第38条（交通信号灯通行规定）；《道路交通安全法》第57条（非机动车通行规定）,李某某赔偿贺某车辆维修费用1.9万元；交警对李某某闯红灯行为罚款200元，警告未佩戴安全头盔行为,电动自行车责任、闯红灯、非机动车过错、机动车无责赔偿
T-004,2025年9月5日21时10分,北京市朝阳区某主干道,机动车追尾（网约车运营中）,陈某某（乘客）、张某某（网约车驾驶人）、某科技公司（网约车平台）、王某某（前车驾驶人）,陈某某通过某科技公司网约车平台预约车辆，由张某某驾驶车辆接送。行驶至主干道时，张某某因低头查看手机导航，未注意前方车辆减速，导致追尾王某某驾驶的小型轿车，造成陈某某颈部软组织损伤,1. 网约车驾驶人张某某驾驶时使用手机，妨碍安全驾驶；2. 未与前车保持安全距离（仅5米，当时车速60km/h）；3. 平台对驾驶人安全教育培训不足,张某某负事故全部责任；某科技公司作为网约车平台，承担连带赔偿责任,《民法典》第1191条（用人单位责任）；《道路交通安全法实施条例》第62条第3项（驾驶时不得有妨碍安全驾驶的行为）,某科技公司赔偿陈某某医疗费、误工费等共计4.3万元；张某某被交警罚款200元，记3分；平台对张某某进行停单7天处罚并加强培训,网约车责任、平台责任、驾驶时使用手机、追尾事故
T-005,2025年12月17日15时7分,广东省茂名市化州市播扬镇茅坡村路段,机动车与机动车正面碰撞（醉驾）,黄某（小型客车驾驶人，醉驾）、张某（对向车辆驾驶人）、双方车上乘客共4人,黄某饮酒后驾驶小型客车（核载5人，实载4人），行驶至乡村道路弯道处时，因醉酒导致操作失控，越过中心线与对向张某驾驶的小型轿车（实载2人）正面碰撞，造成4人死亡、2人重伤,1. 黄某血液酒精含量187mg/100ml，严重醉酒；2. 弯道超速行驶（55km/h，限速30km/h）；3. 未按规定靠右侧行驶,黄某负事故全部责任，涉嫌交通肇事罪,《刑法》第133条（交通肇事罪）；《道路交通安全法》第91条第5款（醉驾处罚规定）,黄某被判处有期徒刑7年；赔偿死者家属、伤者各项损失共计280万元；吊销驾驶证，终身不得重新取得,醉驾、交通肇事罪、多人伤亡、弯道行驶安全
T-006,2024年3月19日14时37分,呼北高速公路临汾乡宁段西家塔隧道内,多车连环追尾（疲劳驾驶）,王某（重型半挂牵引车驾驶人）、其他12辆机动车驾驶人及乘客,王某连续驾驶11小时未休息，进入隧道后因疲劳导致注意力不集中，未发现前方排队车辆，追尾前方小型轿车，引发13车连环相撞事故，造成14人死亡、37人受伤，直接经济损失约1589万元,1. 王某严重疲劳驾驶（违反连续驾驶不超过4小时规定）；2. 进入隧道后超速行驶（85km/h，隧道限速60km/h）；3. 未按照规定开启车辆近光灯；4. 高速公路管理部门应急处置不及时,王某负主要责任，高速公路管理部门负次要责任,《道路交通安全法实施条例》第62条第7项（不得连续驾驶机动车超过4小时未停车休息）；《刑法》第133条（交通肇事罪）,王某被判处有期徒刑6年；相关高速公路管理部门赔偿损失共计350万元；王某所在运输公司被罚款50万元,疲劳驾驶、高速公路事故、多车连环追尾、重大事故
T-007,2025年5月20日20时40分,河南省郑州市金水区某街道,机动车与行人碰撞（无证驾驶）,张小华（无证驾驶人）、王小江（车主）、赵小秀（车辆管理人）、李小国（行人）,王小江外出务工期间，其妻子赵小秀将车辆借给未取得机动车驾驶证的张小华使用。张小华驾驶车辆行驶至某街道时，因操作不当撞倒行人李小国，造成李小国重伤,1. 张小华未取得驾驶证驾驶机动车，缺乏驾驶技能；2. 赵小秀作为车辆管理人，未尽审查义务，将车辆借给无证人员；3. 王小江作为车主，对车辆管理存在疏忽,张小华负主要责任（70%）；赵小秀负次要责任（20%）；王小江负次要责任（10%）,《民法典》第1209条（机动车所有人、管理人与使用人不一致时的侵权责任）；《道路交通安全法》第99条第1项（无证驾驶处罚规定）,张小华被判处有期徒刑2年，赔偿李小国损失共计45万元；赵小秀赔偿9万元；王小江赔偿4.5万元；保险公司在交强险限额内赔付19.8万元,车辆出借、无证驾驶、车主责任、管理人责任
T-008,2025年7月5日16时20分,江苏省南京市江宁区某路口,机动车与非机动车碰撞,吴某（大型普通客车驾驶人）、孙某（三轮轻便摩托车驾驶人，未戴头盔）、周某（同乘人，未戴头盔）,吴某驾驶大型普通客车转弯时未避让直行车辆，与孙某驾驶的三轮轻便摩托车发生碰撞，造成孙某、周某头部受伤（均未佩戴安全头盔），车辆受损,1. 吴某转弯未让直行，违反通行规则；2. 孙某驾驶无牌三轮轻便摩托车；3. 孙某、周某未佩戴安全头盔，加重了头部损伤程度,吴某负主要责任（60%）；孙某负次要责任（30%）；周某自行承担10%损失（未佩戴头盔）,《道路交通安全法》第51条（摩托车驾驶人及乘坐人员应当按规定戴安全头盔）；《道路交通安全法实施条例》第38条（转弯车辆让直行车辆先行）,吴某赔偿孙某、周某损失共计18万元；孙某被罚款500元；交警对两人未戴头盔行为各罚款50元,未佩戴安全头盔、责任自负、转弯让直行、摩托车安全
T-009,2025年1月22日11时28分,G244线1283km+400m处（四川省巴中市恩阳区）,货车追尾多车（制动失效）,蒋某某（货车驾驶人）、6辆小型轿车驾驶人及乘客,蒋某某驾驶重型半挂牵引车行驶至G244线恩阳区路段时，因车辆制动系统失效，无法减速，撞上前方同向行驶的6辆小型轿车，造成5人死亡、12人受伤，直接经济损失约718万元,1. 货车制动系统存在严重故障，未及时维修；2. 蒋某某临危处置不当，未采取有效避险措施；3. 运输公司未落实车辆安全检查制度,蒋某某负全部责任，涉嫌交通肇事罪；运输公司相关负责人涉嫌重大责任事故罪,《刑法》第133条（交通肇事罪）；《道路交通安全法》第21条（机动车安全技术标准）,蒋某某被判处有期徒刑6年；运输公司赔偿损失共计580万元；6名相关人员因涉嫌犯罪被立案调查,制动失效、货车事故、多车追尾、重大责任事故
T-010,2025年9月3日7时45分,上海市浦东新区某非机动车道,非机动车逆行与机动车碰撞,刘某某（电动自行车驾驶人，逆行）、陈某某（小型轿车驾驶人）,刘某某为节省时间，驾驶电动自行车在非机动车道内逆行，与正常行驶的陈某某驾驶的小型轿车发生碰撞，造成刘某某腿部骨折，两车受损,1. 刘某某违反右侧通行规定，在非机动车道内逆行；2. 陈某某车速过快（40km/h，该路段限速30km/h）；3. 双方均未及时发现对方并采取避让措施,刘某某负主要责任（70%）；陈某某负次要责任（30%）,《道路交通安全法》第35条（右侧通行规定）；《道路交通安全法》第42条（限速规定）,刘某某赔偿陈某某车辆维修费用0.8万元；陈某某赔偿刘某某医疗费等共计2.1万元；刘某某被罚款200元,电动自行车逆行、右侧通行、非机动车道行驶规范
